tree_ID,bloc,treatment,genus,species,Notes,102,103,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B3_R11_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B3_R12_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B3_R13_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B3_R14_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bepa_WarmS/WarmF_B3_R15_nitro,3,WarmS/WarmF_nitro,betula,betula_papyrifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R1,1,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R2,1,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R3,1,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R4,1,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R5,1,CoolS/CoolF,pinus,pinus_strobus,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R6,2,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R7,2,CoolS/CoolF,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R8,2,CoolS/CoolF,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R9,2,CoolS/CoolF,pinus,pinus_strobus,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R10,2,CoolS/CoolF,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R11,3,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R12,3,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R13,3,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R14,3,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R15,3,CoolS/CoolF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B1_R1,1,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B1_R2,1,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B1_R3,1,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B1_R4,1,CoolS/WarmF,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B1_R5,1,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B2_R6,2,CoolS/WarmF,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B2_R7,2,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B2_R8,2,CoolS/WarmF,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B2_R9,2,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B2_R10,2,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B3_R11,3,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B3_R12,3,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B3_R13,3,CoolS/WarmF,pinus,pinus_strobus,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B3_R14,3,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_CoolS/WarmF_B3_R15,3,CoolS/WarmF,pinus,pinus_strobus,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B1_R1,1,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B1_R2,1,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B1_R3,1,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B1_R4,1,WarmS/CoolF,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B1_R5,1,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B2_R6,2,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B2_R7,2,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B2_R8,2,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B2_R9,2,WarmS/CoolF,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B2_R10,2,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B3_R11,3,WarmS/CoolF,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B3_R12,3,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B3_R13,3,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B3_R14,3,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/CoolF_B3_R15,3,WarmS/CoolF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R1,1,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R2,1,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R3,1,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R4,1,WarmS/WarmF,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R5,1,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R6,2,WarmS/WarmF,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R7,2,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R8,2,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R9,2,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R10,2,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R11,3,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R12,3,WarmS/WarmF,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R13,3,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R14,3,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R15,3,WarmS/WarmF,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R4_nitro,1,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B1_R5_nitro,1,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R6_nitro,2,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R11_nitro,3,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R12_nitro,3,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R13_nitro,3,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R14_nitro,3,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pist_WarmS/WarmF_B3_R15_nitro,3,WarmS/WarmF_nitro,pinus,pinus_strobus,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R1,1,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R2,1,CoolS/CoolF,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R3,1,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R4,1,CoolS/CoolF,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R5,1,CoolS/CoolF,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R6,2,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R7,2,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R8,2,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R9,2,CoolS/CoolF,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R10,2,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R11,3,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R12,3,CoolS/CoolF,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R13,3,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R14,3,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R15,3,CoolS/CoolF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B1_R1,1,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B1_R2,1,CoolS/WarmF,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B1_R3,1,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B1_R4,1,CoolS/WarmF,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B1_R5,1,CoolS/WarmF,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B2_R6,2,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B2_R7,2,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B2_R8,2,CoolS/WarmF,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B2_R9,2,CoolS/WarmF,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B2_R10,2,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B3_R11,3,CoolS/WarmF,populus,populus_balsamifera,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B3_R12,3,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B3_R13,3,CoolS/WarmF,populus,populus_balsamifera,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B3_R14,3,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_CoolS/WarmF_B3_R15,3,CoolS/WarmF,populus,populus_balsamifera,,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B1_R1,1,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B1_R2,1,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B1_R3,1,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B1_R4,1,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B1_R5,1,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B2_R6,2,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B2_R7,2,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B2_R8,2,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B2_R9,2,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B2_R10,2,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B3_R11,3,WarmS/CoolF,populus,populus_balsamifera,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B3_R12,3,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B3_R13,3,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B3_R14,3,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/CoolF_B3_R15,3,WarmS/CoolF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R1,1,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R2,1,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R3,1,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R4,1,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R5,1,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B2_R6,2,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B2_R7,2,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B2_R8,2,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B2_R9,2,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B2_R10,2,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B3_R11,3,WarmS/WarmF,populus,populus_balsamifera,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B3_R12,3,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B3_R13,3,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B3_R14,3,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B3_R15,3,WarmS/WarmF,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,populus,populus_balsamifera,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Poba_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,populus,populus_balsamifera,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
